run,lumisection,evt,mu1pt,mu1eta,mu1phi,mu1en,mu2pt,mu2eta,mu2phi,mu2en,mu3pt,mu3eta,mu3phi,mu3en,chi2
283820,973,1720206016,10.1334,0.1677,2.89796,10.2768,5.16493,0.138177,2.92452,5.21539,3.4342,0.332363,2.883,3.62717,109.897
283820,973,1718976231,7.87571,-1.88601,0.192376,26.5597,4.67214,-1.66636,0.244801,12.8063,4.51732,-1.25782,-0.000856728,8.58813,0.796795
283820,973,1718754119,9.57762,-2.08346,1.23943,39.0609,7.03973,-1.95181,1.20369,25.285,3.11955,-1.96205,1.28284,11.3158,1.43696
283820,974,1720418417,8.20085,-1.38174,2.1237,17.3572,7.06809,-1.80894,2.60679,22.151,3.21445,-1.53503,2.28226,7.80688,21.522
283820,974,1720288558,6.20756,1.63816,2.93676,16.5747,3.86632,1.59132,3.11976,9.88654,2.59386,1.64608,2.95595,6.97752,34.2032
283820,974,1721139031,15.5721,0.733761,2.46282,19.9559,7.00344,0.787625,2.39569,9.29099,5.13757,0.852393,2.49849,7.12054,0.909767
283820,974,1720293735,4.67194,-1.82257,-0.858812,14.8323,3.86953,-1.12001,-1.21362,6.56194,3.74552,-1.72543,-0.800477,10.8494,24.1608
283820,974,1720482007,24.8491,-0.459135,-1.72399,27.5148,8.32284,-0.391013,-1.67598,8.96786,5.18751,0.0597538,-1.55848,5.19785,219.908
283820,975,1722871037,12.3964,-0.776235,-2.37459,16.3228,9.25005,-0.778156,-2.46464,12.1953,3.85476,-0.782106,-2.29049,5.09614,4.53873
283820,975,1723304083,6.19578,1.19692,-2.3102,11.1902,5.16081,0.466844,-2.29856,5.73445,4.60098,0.681467,-2.20334,5.71228,14.8133
283820,975,1723278214,5.2457,1.28515,-1.43283,10.2082,4.21862,1.51938,-1.50329,10.1005,2.29424,1.5597,-1.35063,5.69941,8.36664
283820,975,1722024638,4.62218,1.53788,2.4181,11.2545,4.33675,1.49761,2.13919,10.1803,2.03345,1.49619,2.06477,4.76822,2.98323
283820,975,1722084211,11.3894,0.687629,0.983802,14.1902,5.12208,0.186485,0.698348,5.21247,4.20674,0.769638,1.01637,5.5164,102.016
283820,975,1723094381,6.15116,-1.7469,-0.707976,18.1804,5.47178,-1.66163,-0.85457,14.9321,5.32301,-1.61221,-0.854053,13.8757,0.65896
